__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
2026-08-16 10:52:03,706 INFO  [it.uni.reti2.main] (main) 🚉 Avvio processo Stazione con ID: TO
2026-08-16 10:57:55,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:57:55.942670260Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:58:05,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:58:05.942688724Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:58:15,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:58:15.942693168Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:58:25,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:58:25.942582931Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:58:35,943 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:58:35.943609868Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:58:45,933 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:58:45.933789380Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:58:55,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:58:55.942552708Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:59:05,932 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:59:05.932806891Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:59:15,941 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:59:15.941306362Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:59:25,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:59:25.942839018Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:59:35,940 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:59:35.940801627Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:59:45,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:59:45.942787782Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:59:55,941 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:59:55.941825868Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:00:05,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:00:05.942664774Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:00:15,936 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:00:15.936050892Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:00:25,940 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:00:25.940683783Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:00:35,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:00:35.942639404Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:00:45,941 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:00:45.941649716Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:00:55,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:00:55.942619282Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:00:58,812 INFO  [it.uni.reti2.StationGateway] (vert.x-eventloop-thread-2) 🚂 [PASSAGGIO] Treno tenoAmmazzaRicchi in ENTRATA dalla stazione TO
2026-08-16 11:01:05,940 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:01:05.940598852Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:01:15,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:01:15.942715892Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:01:25,941 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:01:25.941241189Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:01:35,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:01:35.942498392Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:01:39,811 INFO  [it.uni.reti2.StationGateway] (vert.x-eventloop-thread-2) 🚂 [PASSAGGIO] Treno tenoAmmazzaRicchi in USCITA dalla stazione TO
2026-08-16 11:01:45,939 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:01:45.938909714Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:01:55,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:01:55.942853471Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:02:05,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:02:05.942588321Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 11:02:15,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T09:02:15.942563752Z","tipoEvento":"HEARTBEAT","bufferSize":0}
